pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,pl_dens,pl_eqt,st_teff,st_rad,st_mass,st_lum,st_age,st_met,st_spectype,escape_velocity,stellar_flux,hz_inner,hz_outer,in_hz,orbit_stability,is_rocky,esi,spectral_suitability,stellar_suitability,habitability_score
Kepler-1847 b,Kepler-1847,1,1,Transit,2021.0,11.12969971,,,,2.74516914,,,6122.0,0.964,1.041,0.06107755328687643,,-0.18,,,,1.0505864017863864,1.7607318140761015,,,0.0,,0.7559711990673895,0.9990032367318377,0.1304079224966198
Kepler-1263 b,Kepler-1263,1,1,Transit,2016.0,4.55139967,,,,1.14,,,5213.0,0.8,0.84,-0.2650224987834143,4.9,-0.03,,,,0.7488119150078656,1.3081173832050377,,,1.0,,0.9899686529912571,0.9926084586557181,0.22868008434520087
KOI-2513.01,KOI-2513,1,1,Transit,2023.0,19.00547,0.5,0.36,7310.053361,2.80224517,2000.0,403.14898267812714,5900.0,1.2,0.91,-0.14335512687617238,8.0,-0.37,,572.0384637124421,2.8754436718038767,0.8376762526195153,1.4172867138365495,0.0,0.0,1.0,0.08983548857645952,0.835270211411272,0.9963157601005641,0.3651209348454893
Kepler-111 c,Kepler-111,1,2,Transit,2014.0,224.77833,0.751,0.176,222.4798849,7.0840758,3.42,352.2,5914.0,1.145,1.118,0.15836,3.4,0.237,,62.765616437069696,2.5531723116223763,1.184921153220711,2.003577605806969,0.0,0.0,0.0,0.48541137367299236,0.8305695941427272,0.9995382384234758,0.4056675425738948
Kepler-522 b,Kepler-522,1,1,Transit,2016.0,38.58422849,,,,6.91,,,6392.0,1.98,1.54,0.6563225229276207,1.7,0.41,,,,2.0625139055106283,3.4187265599581167,,,0.0,,0.6501241073067593,0.8494449867161488,0.11147107765467117
Kepler-167 d,Kepler-167,2,4,Transit,2016.0,21.80379,0.1404,0.0,,1.238,,538.0,4884.0,0.749,0.777,-0.5391,7.1,0.02,,,14.661073953080079,0.5536595120849032,0.9836983044307083,0.0,0.0,1.0,,0.9970142440394328,0.9862110114938586,0.22880070325129093
Kepler-1264 b,Kepler-1264,1,1,Transit,2016.0,0.968526023,,,,1.18,,,5791.0,0.98,0.99,-0.015276818908575298,4.17,-0.02,,,,0.9750377305042244,1.6576322030875783,,,1.0,,0.8701930266570368,0.9983411989198255,0.21949932605695077
Kepler-1265 b,Kepler-1265,1,1,Transit,2016.0,6.49441289,,,,1.35,,,4630.0,0.69,0.71,-0.5205957794832365,5.25,-0.1,,,,0.5716124375709346,1.0297724862310897,,,1.0,,0.9700358763680561,0.973403006423134,0.2257410805590639
Kepler-1266 b,Kepler-1266,1,2,Transit,2016.0,28.474748,,,,2.58,,,5044.0,0.76,0.8,-0.3391850455281974,5.13,-0.07,,,,0.6923385412745834,1.2198445568989396,,,0.0,,0.9995698703100877,0.9890130573694068,0.1491965036406655
Kepler-1848 b,Kepler-1848,1,1,Transit,2021.0,5.604020119,,,,1.4088539,,,4847.0,0.737,0.756,-0.42517371574577717,,0.0,,,,0.6322291599520682,1.1255141514101064,,,1.0,,0.9948115069707631,0.9830434644897993,0.22839796307194704
Kepler-1267 b,Kepler-1267,1,1,Transit,2016.0,13.0313945,,,,3.01,,,6096.0,1.2,1.15,0.21244244123764075,3.24,0.07,,,,1.25188636915498,2.1003918597548115,,,0.0,,0.7657213954685367,0.9996646498695336,0.1312342371283503
Kepler-1268 b,Kepler-1268,1,1,Transit,2016.0,40.9903986,,,,2.03,,,5904.0,1.09,1.06,0.08857052842669588,4.27,0.05,,,,1.093878825375625,1.8504399758397507,,,0.0,,0.8339318825524922,0.9991755753136017,0.1366568408761515
Kepler-1849 b,Kepler-1849,1,1,Transit,2021.0,57.29290009,,,,2.38685349,,,4806.0,0.729,0.709,-0.5227381768592672,,-0.1,,,,0.5660231115826555,1.0098764903785353,,,0.0,,0.9916713216749286,0.9731428812151904,0.1474537074190576
Kepler-169 c,Kepler-169,1,5,Transit,2014.0,6.195469,0.062,,,1.21,,773.1855152033852,4997.0,0.763,,,,,,,,,,,,1.0,,0.999998000002,,0.15999984000016004
Kepler-1850 b,Kepler-1850,1,1,Transit,2021.0,1.385800004,,,,0.72909663,,,4239.0,0.6,0.611,-0.7488557641510603,,-0.22,,,,0.4468286248955019,0.8235913589964542,,,1.0,,0.8792433635097825,0.931502396275674,0.2155446368200798
Kepler-1851 b,Kepler-1851,1,1,Transit,2021.0,12.02289963,,,,3.90012032,,,5982.0,0.879,0.967,-0.05100734070949422,,-0.28,,,,0.9285829997397971,1.5655283564549087,,,0.0,,0.8071108801280549,0.9979131281410447,0.13442278938011754
Kepler-436 c,Kepler-436,1,2,Transit,2016.0,16.79713874,,,,2.33,,,4685.0,0.71,0.75,-0.43728557812904983,4.07,0.02,,,,0.6277054276711336,1.1273648657216349,,,0.0,,0.9781913242622374,0.9820137900379085,0.1469962712436326
Kepler-1269 b,Kepler-1269,1,1,Transit,2016.0,37.3331536,,,,1.63,,,5998.0,1.15,1.1,0.1448743980537878,3.55,0.07,,,,1.1627414397321776,1.958958833544123,,,0.0,,0.801448773532406,0.9994472213630764,0.13407720737800782
Kepler-1852 b,Kepler-1852,1,1,Transit,2021.0,7.970940113,,,,1.88610592,,,5237.0,0.826,0.927,-0.11522093049426017,,0.24,,,,0.8888839148316003,1.5509648041316575,,,0.0,,0.9875955770542789,0.9968899451029695,0.14878994232155018
Kepler-1270 b,Kepler-1270,1,1,Transit,2016.0,6.03356196,,,,3.32,,,5047.0,3.38,1.28,0.3752348937675393,4.37,-0.02,,,,1.5757038418782783,2.775834564513116,,,0.0,,0.999509231577349,0.9999085841261478,0.1499543394150183
Kepler-1271 b,Kepler-1271,1,1,Transit,2016.0,3.0255955,,,,1.48,,,6143.0,1.23,1.13,0.1857745521919689,3.63,-0.01,,,,1.2117597932837139,2.0290687574666704,,,1.0,,0.7480226654971215,0.9995904328350139,0.20981314353822073
