pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,pl_dens,pl_eqt,st_teff,st_rad,st_mass,st_lum,st_age,st_met,st_spectype,escape_velocity,stellar_flux,hz_inner,hz_outer,in_hz,orbit_stability,is_rocky,esi,spectral_suitability,stellar_suitability,habitability_score,phl_esi,phl_habitable,phl_hz_con,phl_hz_opt,phl_flux,phl_type,phl_type_temp
Kepler-1715 b,Kepler-1715,1,1,Transit,2021.0,35.59730148,,,,4.14042267,,,6212.0,1.209,1.082,0.1197954126969272,,-0.04,,,,1.1200402159988718,1.8701281632683715,,,0.0,0.19280711,0.7214934349341331,0.9993382759574432,0.1276731541117516,0.19280711,0.0,0.0,0.0,55.066091,Neptunian,Hot
Kepler-1841 b,Kepler-1841,1,1,Transit,2021.0,25.88599968,,,,1.48912557,,,5190.0,0.899,0.823,-0.2961005767570556,,0.12,,,,0.7231770926066998,1.264784334149122,,,1.0,0.34397282,0.992009869928342,0.9912507539273528,0.228748342369182,0.34397282,0.0,0.0,0.0,20.441319,Terran,Hot
Kepler-1250 b,Kepler-1250,1,1,Transit,2016.0,2.607543834,,,,1.92,,,5717.0,0.98,0.99,-0.0152768189085752,4.57,0.04,,,,0.977956186358908,1.6681155514211718,,,0.0,0.25957188,0.8920420555820748,0.9983411989198256,0.1412472483709538,0.25957188,0.0,0.0,0.0,1426.3132,Superterran,Hot
Kepler-389 b,Kepler-389,1,2,Transit,2014.0,3.244107,0.041,,,1.51,,1042.1682982249215,5376.0,0.792,,,,,,,,,,,,1.0,0.28604438,0.9690714937155116,,0.1575257194972409,0.28604438,0.0,0.0,0.0,181.3144,Terran,Hot
Kepler-161 c,Kepler-161,1,2,Transit,2014.0,7.06424,0.068,,,2.05,,771.1053153767195,5078.0,0.806,,,,,,,,,,,,0.0,0.26922609,0.9986489135402516,,0.0798919130832201,0.26922609,0.0,0.0,0.0,77.264887,Superterran,Hot
Kepler-1842 b,Kepler-1842,1,1,Transit,2021.0,14.02639961,,,,2.35388681,,,5970.0,1.131,1.057,0.0842624555759918,,0.06,,,,1.0855868127059105,1.831170908494031,,,0.0,0.25588139,0.8113231148278824,0.999150489173065,0.1348463834283451,0.25588139,0.0,0.0,0.0,69.997741,Superterran,Hot
Kepler-1843 b,Kepler-1843,1,1,Transit,2021.0,25.54339981,,,,2.70909809,,,5422.0,1.782,1.02,0.0301006011667114,,0.02,,,,1.0428323020338723,1.803293636320146,,,0.0,0.23639243,0.9611986090461804,0.9987706013787226,0.146809830820205,0.23639243,0.0,0.0,0.0,84.724259,Neptunian,Hot
Kepler-1251 b,Kepler-1251,1,1,Transit,2016.0,45.0904643,,,,1.84,,,5545.0,0.89,0.92,-0.1267426042905565,4.79,-0.04,,,,0.8661953324765275,1.489183374589255,,,0.0,0.37071513,0.9361256635790416,0.9966651926925868,0.1446566165748044,0.37071513,0.0,0.0,0.0,11.449787,Superterran,Hot
Kepler-1252 b,Kepler-1252,1,1,Transit,2016.0,15.0540329,,,,1.67,,,5949.0,1.09,1.06,0.0885705284266958,3.89,0.03,,,,1.091903926972959,1.8434957060170023,,,0.0,0.29212101,0.8186214143389646,0.9991755753136016,0.1354320034190693,0.29212101,0.0,0.0,0.0,63.791451,Superterran,Hot
Kepler-1253 b,Kepler-1253,1,1,Transit,2016.0,68.8861915,,,,1.33,,,5850.0,1.1,0.97,-0.046298930068143,7.08,-0.14,,,,0.9385940232359414,1.5915145044507657,,,1.0,0.34524921,0.851670507229441,0.99797467961095,0.2179918681511218,0.34524921,0.0,0.0,0.0,22.546504,Terran,Hot
