pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmasse,pl_rade,pl_dens,pl_eqt,st_teff,st_rad,st_mass,st_lum,st_age,st_met,st_spectype
ups And d,ups And,2,3,Radial Velocity,1999.0,1276.46,2.51329,0.2987,1313.22,,,,,1.56,1.3,,5.0,,F8 V
USco CTIO 108 b,USco CTIO 108,1,1,Imaging,2008.0,,670.0,,4449.62,,,,2700.0,,0.06,-1.95,0.003,,M7
V0391 Peg b,V0391 Peg,1,1,Pulsation Timing Variations,2007.0,1170.0,1.7,0.0,1017.056,,,,29300.0,0.23,0.5,,10.0,,
WASP-10 b,WASP-10,1,1,Transit,2008.0,3.0927616,0.03781,,1001.12,12.106,4.14,1370.0,4675.0,0.698,0.75,,,0.03,
WASP-11 b,WASP-11,3,1,Transit,2008.0,3.72247,,0.0,251.0857,12.44199,,,4800.0,0.89,1.42,,,0.0,
WASP-12 b,WASP-12,3,1,Transit,2008.0,1.091418901,0.0234,,,22.02564708,,,6265.0,1.69,1.325,,3.05,0.12,
WASP-13 b,WASP-13,1,1,Transit,2009.0,4.35301,,0.0,114.4188,13.67498,,,5950.0,1.37,0.72,,,0.0,
WASP-14 b,WASP-14,3,1,Transit,2008.0,2.24375,,0.09,2809.6172,15.46842,,,6475.0,1.4,1.62,,,0.0,
WASP-15 b,WASP-15,1,1,Transit,2009.0,3.7521,,0.0,171.6282,15.80469,,,6300.0,1.48,1.18,,,-0.17,
WASP-16 b,WASP-16,1,1,Transit,2009.0,3.1186,,0.0,394.1092,13.67498,,,5700.0,1.14,1.78,,,0.01,
WASP-17 b,WASP-17,1,1,Transit,2009.0,3.73543,,0.0,247.9074,20.96083,,,6550.0,1.49,2.28,,,-0.25,
WASP-18 b,WASP-18,2,2,Transit,2009.0,0.94145223,0.02024,0.0051,3241.8497514,13.89913607,6.6,2429.0,6432.0,1.319,1.294,0.42813,1.57,0.107,
WASP-19 b,WASP-19,1,1,Transit,2009.0,0.78883852,0.01652,0.0126,366.77398168,15.86070769,0.506,2113.0,5616.0,1.006,0.965,-0.04335,6.4,0.04,
WASP-1 b,WASP-1,2,1,Transit,2007.0,2.5199454,0.03889,0.0,271.415,16.623,0.348,,,1.47,1.24,0.44091,3.4,,
Kepler-747 b,Kepler-747,1,1,Transit,2016.0,35.61760587,,,,5.27,,,5096.0,0.78,0.82,,4.79,-0.03,
WASP-21 b,WASP-21,1,1,Transit,2010.0,4.322482,0.052,0.0,95.345,11.99,0.32,,,,,,,,G3 V
WASP-22 b,WASP-22,1,1,Transit,2010.0,3.53269,,0.02,212.9461,13.78707,,,6000.0,1.24,1.46,,,-0.05,
